school_1,school_2,sex_1,sex_2,age,address_1,address_2,famsize_1,famsize_2,Pstatus_1,Pstatus_2,Medu,Fedu,Mjob_1,Mjob_2,Mjob_3,Mjob_4,Mjob_5,Fjob_1,Fjob_2,Fjob_3,Fjob_4,Fjob_5,reason_1,reason_2,reason_3,reason_4,guardian_1,guardian_2,guardian_3,traveltime_1,traveltime_2,traveltime_3,traveltime_4,studytime,failures,schoolsup_1,schoolsup_2,famsup_1,famsup_2,paid_1,paid_2,activities_1,activities_2,nursery_1,nursery_2,higher_1,higher_2,internet_1,internet_2,romantic_1,romantic_2,famrel,freetime,goout,Dalc,Walc,health,absences,G3
1,0,1,0,1.023046454461126,1,0,1,0,1,0,4,4,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,4,3,4,1,1,3,0.03642446420844665,6
1,0,1,0,0.23837975637929248,1,0,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,5,3,3,1,1,3,-0.21379576818001317,6
1,0,1,0,-1.3309536397843746,1,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,3,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,4,3,2,2,3,3,0.5368649289853663,10
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,3,2,2,1,1,5,-0.464016000568473,15
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,4,3,2,1,2,5,-0.21379576818001317,10
1,0,0,1,-0.5462869417025411,1,0,0,1,0,1,4,3,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,5,4,2,1,2,5,0.5368649289853663,15
1,0,0,1,-0.5462869417025411,1,0,0,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,4,4,4,1,1,3,-0.7142362329569328,11
1,0,1,0,0.23837975637929248,1,0,1,0,1,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,4,1,4,1,1,1,0.03642446420844665,6
1,0,0,1,-1.3309536397843746,1,0,0,1,1,0,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,2,2,1,1,1,-0.7142362329569328,19
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,3,4,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,5,5,1,1,1,5,-0.7142362329569328,15
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,3,3,1,2,2,-0.7142362329569328,9
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,3,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,2,2,1,1,4,-0.21379576818001317,12
1,0,0,1,-1.3309536397843746,1,0,0,1,0,1,4,4,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,3,1,3,5,-0.464016000568473,14
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,5,4,3,1,2,3,-0.464016000568473,11
1,0,0,1,-1.3309536397843746,1,0,1,0,1,0,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,3,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,1,4,5,2,1,1,3,-0.7142362329569328,16
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,4,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,4,4,4,1,2,2,-0.21379576818001317,14
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,3,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,3,2,3,1,2,2,0.03642446420844665,14
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,2,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,5,3,2,1,1,4,-0.21379576818001317,10
1,0,0,1,0.23837975637929248,1,0,1,0,0,1,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,3,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,5,5,2,4,5,1.2875256261507457,5
1,0,0,1,-0.5462869417025411,1,0,0,1,0,1,4,3,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,1,0,3,1,3,1,3,5,-0.21379576818001317,10
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,4,4,1,1,1,1,-0.7142362329569328,15
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,4,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,5,4,2,1,1,5,-0.7142362329569328,15
1,0,0,1,-0.5462869417025411,1,0,0,1,0,1,4,2,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,4,5,1,1,3,5,-0.464016000568473,16
1,0,0,1,-0.5462869417025411,1,0,0,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,4,4,2,4,5,-0.7142362329569328,12
1,0,1,0,-1.3309536397843746,0,1,1,0,0,1,2,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,2,1,1,5,-0.464016000568473,8
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,2,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,2,2,1,3,5,1.0373053937622858,8
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,2,2,1,2,5,-0.464016000568473,11
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,2,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,2,2,4,2,4,1,-0.21379576818001317,15
1,0,0,1,-0.5462869417025411,1,0,0,1,1,0,3,4,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,3,3,1,1,5,-0.21379576818001317,11
1,0,0,1,-0.5462869417025411,1,0,1,0,0,1,4,4,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,0,1,4,4,5,5,5,5,1.2875256261507457,11
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,4,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,-0.7142362329569328,12
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,4,3,1,1,1,5,-0.7142362329569328,17
1,0,0,1,-1.3309536397843746,0,1,1,0,0,1,4,3,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,4,5,2,1,1,5,-0.7142362329569328,16
1,0,0,1,-1.3309536397843746,1,0,0,1,0,1,3,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1,1,0,5,3,2,1,1,2,-0.7142362329569328,12
1,0,0,1,-0.5462869417025411,1,0,1,0,0,1,3,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,-0.7142362329569328,15
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,2,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,5,1,1,1,5,-0.7142362329569328,6
1,0,0,1,-1.3309536397843746,1,0,0,1,0,1,4,3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,4,3,1,1,4,-0.464016000568473,18
1,0,0,1,-0.5462869417025411,0,1,1,0,1,0,4,4,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,3,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,0,1,2,4,3,1,1,5,0.16153458040267657,15
1,0,1,0,-1.3309536397843746,0,1,1,0,0,1,3,4,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,2,1,1,5,-0.464016000568473,11
1,0,1,0,-1.3309536397843746,0,1,1,0,0,1,2,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,4,3,1,1,1,2,0.28664469659690645,13
1,0,1,0,-0.5462869417025411,1,0,0,1,0,1,2,2,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,2,1,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,3,3,3,1,2,3,2.413516671898815,11
1,0,0,1,-1.3309536397843746,1,0,0,1,0,1,4,4,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,5,4,3,2,4,5,0.28664469659690645,12
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,4,3,3,1,1,5,-0.464016000568473,18
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,0,1,1,0,5,4,1,1,1,1,-0.7142362329569328,11
1,0,1,0,-0.5462869417025411,1,0,0,1,0,1,2,2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,2,1,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,4,3,3,2,2,5,1.0373053937622858,9
1,0,1,0,-1.3309536397843746,1,0,0,1,1,0,4,3,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,5,2,2,1,1,5,0.28664469659690645,6
1,0,1,0,-0.5462869417025411,1,0,0,1,1,0,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,2,3,5,1,4,3,0.7870851613738261,11
1,0,0,1,-0.5462869417025411,1,0,1,0,0,1,4,3,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,4,2,2,1,1,2,-0.21379576818001317,20
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,4,3,3,2,2,5,-0.464016000568473,14
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,2,1,1,0,0,1,1,0,0,1,0,1,1,0,0,1,1,0,4,4,4,1,1,3,-0.464016000568473,7
1,0,1,0,-0.5462869417025411,1,0,0,1,0,1,2,2,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,3,3,2,3,4,-0.464016000568473,13
1,0,1,0,-1.3309536397843746,1,0,0,1,0,1,4,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,3,3,1,1,5,-0.464016000568473,13
1,0,0,1,-1.3309536397843746,1,0,0,1,1,0,4,2,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,5,5,5,3,4,5,0.03642446420844665,10
1,0,1,0,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,3,3,4,2,3,5,-0.7142362329569328,11
1,0,1,0,-1.3309536397843746,1,0,0,1,1,0,3,3,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,5,3,4,4,4,1,0.03642446420844665,13
1,0,1,0,-0.5462869417025411,1,0,1,0,1,0,2,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1,0,1,5,3,4,1,1,2,0.28664469659690645,10
1,0,1,0,-1.3309536397843746,1,0,1,0,1,0,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,2,1,1,1,-0.7142362329569328,15
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,4,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,3,2,2,1,1,5,-0.21379576818001317,15
1,0,0,1,-1.3309536397843746,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,2,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,0,4,3,2,1,1,5,-0.464016000568473,9
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,4,2,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,4,2,3,1,1,5,-0.464016000568473,16
1,0,1,0,-0.5462869417025411,0,1,1,0,0,1,4,4,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,2,4,4,2,3,4,0.03642446420844665,11
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,5,5,5,5,5,5,0.03642446420844665,11
1,0,1,0,-0.5462869417025411,1,0,0,1,0,1,1,2,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,1,0,4,4,3,1,1,1,-0.21379576818001317,9
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,4,3,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,3,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,3,4,4,2,4,4,-0.464016000568473,9
1,0,1,0,-1.3309536397843746,1,0,0,1,0,1,4,3,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,2,0,1,0,1,0,1,0,0,1,1,0,1,0,0,1,0,1,4,4,4,2,4,2,-0.7142362329569328,10
1,0,1,0,-0.5462869417025411,1,0,0,1,0,1,4,3,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,1,1,0,1,0,0,1,1,0,5,4,3,1,2,1,-0.464016000568473,15
1,0,0,1,-1.3309536397843746,1,0,1,0,1,0,4,4,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,4,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,1,3,3,5,5,3,-0.21379576818001317,12
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,3,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,3,3,1,2,5,-0.21379576818001317,6
1,0,1,0,-1.3309536397843746,0,1,0,1,0,1,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,2,0,1,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,1,3,1,3,4,-0.464016000568473,8
1,0,1,0,-1.3309536397843746,0,1,0,1,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1,1,0,4,4,2,2,3,3,0.7870851613738261,16
1,0,0,1,-0.5462869417025411,1,0,1,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,4,0,0,1,0,1,0,1,1,0,1,0,1,0,0,1,1,0,4,3,2,1,1,5,-0.7142362329569328,15
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,4,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,0,3,3,3,1,1,3,-0.7142362329569328,10
1,0,1,0,-1.3309536397843746,0,1,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,2,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,3,3,4,2,4,5,-0.464016000568473,5
1,0,0,1,-0.5462869417025411,1,0,1,0,0,1,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1,0,1,0,1,0,1,0,5,3,2,2,2,5,-0.464016000568473,14
1,0,1,0,-0.5462869417025411,1,0,1,0,0,1,3,3,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,1,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,3,2,4,5,6.0417100415314815,11
1,0,0,1,-1.3309536397843746,1,0,1,0,0,1,4,3,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,4,3,3,2,3,5,0.03642446420844665,10
